beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,2,17,0.8897386707954054,1.0780986931299643,-0.629924680815914,0.3518480209787787,9.199436949365294,8.042240479514943,136,120,0.1923076923076923,139264,0.24188889595566107,0.11026132920459464,0.2812675379133571
0.2,2,18,0.9343731579713945,1.13112962835229,-0.2313851815203277,-0.18327491212835803,9.392524405417745,8.115242620753342,137,119,0.18518518518518517,147456,0.20782554331359251,0.06562684202860547,0.2459135810984733
0.2,2,19,0.8525586620140919,1.168963320364206,0.4969902516150699,-0.15321633729669046,9.655810602807072,8.405010503132733,136,120,0.17857142857142858,155648,0.20101605860946004,0.14744133798590808,0.220691119757196
0.2,2,20,0.8266013454937191,1.2552837566412614,0.24566606076690659,-0.5446377460274399,9.378409618048925,8.233893483249485,136,120,0.1724137931034483,163840,0.1663667248055442,0.1733986545062809,0.1631441622391591
0.2,2,21,0.7986254497895753,1.2090521659916111,0.1611411592558683,0.17752930809465695,9.40715956736961,8.382847328567216,135,121,0.16666666666666666,172032,0.19627480859293167,0.20137455021042472,0.19396522267225924
0.2,2,22,0.8287560293209612,1.1463240051587498,-0.1793372093708085,0.24890534218479418,9.223056481927294,8.16747021135189,135,121,0.16129032258064516,180224,0.21797050387671307,0.17124397067903885,0.2357839965608335
0.2,2,23,0.7914035200782804,1.088674468297177,0.22949381678703082,0.23613250298500274,9.247750839418131,8.09597153091438,136,120,0.15625,188416,0.2558251713521094,0.2085964799217196,0.27421702113521534
0.2,2,24,0.8757206952129,1.1205431673185975,-0.9783992838598141,-0.246531917530996,9.011139622776103,7.82327951631694,137,119,0.15151515151515152,196608,0.22148647013164127,0.12427930478710003,0.2529712217876017
0.2,2,25,0.9114508536858462,1.192014863471466,-0.2332464745113931,-0.31104482165728414,9.39896904697762,8.180904898383364,136,120,0.14705882352941177,204800,0.17776024963240206,0.08854914631415378,0.20532342435235598
0.2,2,26,0.846089251976851,1.2413702831905729,0.43922996348444765,-0.22111228034159852,9.654185864062203,8.490711565117383,136,120,0.14285714285714285,212992,0.16694342549219365,0.15391074802314897,0.17241981120628477
0.2,2,27,0.8784180548183858,1.2979209164223746,-0.223456685240688,-0.2605853179321423,9.464047845487963,8.40821959194379,135,121,0.1388888888888889,221184,0.13081769512595406,0.12158194518161425,0.13471938905175027
0.2,2,28,0.903662608533548,1.3045392702815464,-0.17933730959251276,-0.031344523877036984,9.68421471799569,8.66899974656337,135,121,0.13513513513513511,229376,0.12087602021732313,0.09633739146645204,0.13030715314563576
